gene	OH1	OH2	BT8	I35_8	OH4	A18	B11	G1	N	P
ENSG00000273423	0	0	0	0	0	0	1	0	0	0
ENSG00000110514	1595	1805	1505	1294	2330	1584	1397	1272	1906	2371
ENSG00000268358	7	7	4	2	8	7	8	6	10	12
ENSG00000086015	1057	1196	963	957	1287	942	912	885	1154	1200
ENSG00000272373	23	47	21	32	39	34	38	29	28	46
ENSG00000211769	0	0	0	0	0	0	0	0	0	0
ENSG00000211768	0	0	0	0	0	0	0	0	0	0
ENSG00000254148	0	0	0	0	0	0	0	0	0	0
ENSG00000255071	0	0	0	0	0	0	0	0	0	0
ENSG00000211767	0	0	0	0	0	0	0	0	0	0
ENSG00000211766	0	0	0	0	0	0	0	0	0	0
ENSG00000211765	0	0	0	0	0	0	0	0	0	0
ENSG00000211764	0	0	0	0	0	0	0	0	0	0
ENSG00000169740	431	640	451	459	879	566	608	384	636	927
ENSG00000215869	0	0	0	0	0	0	0	2	0	0
ENSG00000261609	2120	3028	1693	1877	2781	1884	2339	1792	2416	2661
ENSG00000169744	1304	1904	732	1064	1741	1344	1333	845	1731	1864
ENSG00000215864	1	3	1	10	6	1	5	6	5	4
ENSG00000261606	1	0	0	0	1	0	0	0	0	1
ENSG00000215866	2	0	3	3	0	0	6	3	1	0
ENSG00000215867	0	0	0	0	0	0	0	0	0	0
ENSG00000135905	6897	4025	1657	1440	878	3750	1578	1803	429	2388
ENSG00000215861	1	2	4	1	8	2	1	2	5	6
ENSG00000261601	0	0	0	0	0	0	0	0	0	0
ENSG00000215863	1	0	0	0	1	2	1	2	0	2
ENSG00000270595	0	0	0	0	0	0	0	0	0	0
ENSG00000266468	0	0	0	0	0	0	0	0	0	0
ENSG00000251074	0	0	0	0	0	0	0	0	0	0
ENSG00000168298	3255	3878	2909	3440	5368	4673	6061	3598	6318	7477
ENSG00000270594	0	0	0	0	0	0	0	0	0	0
ENSG00000255070	0	0	0	0	0	0	0	0	0	0
ENSG00000153714	641	465	431	260	552	434	254	392	699	389
ENSG00000266460	0	0	0	0	0	0	1	0	0	0
ENSG00000266461	0	0	0	0	0	0	0	0	0	0
ENSG00000266466	0	0	0	0	0	0	0	0	0	0
ENSG00000233578	0	0	0	0	0	1	0	0	1	0
ENSG00000266464	0	0	0	0	0	0	0	0	0	0
ENSG00000168291	1455	2253	1410	1360	2392	1389	1623	1263	2050	2453
ENSG00000262558	1	5	3	1	4	2	1	0	0	1
ENSG00000270596	0	0	0	0	0	0	0	0	0	0
ENSG00000212072	0	0	0	0	2	0	0	0	0	0
ENSG00000212073	0	0	0	0	0	0	0	0	0	0
ENSG00000212070	0	0	0	0	0	0	0	0	0	0
ENSG00000212071	0	0	0	0	0	0	0	0	0	0
ENSG00000212076	0	0	0	0	0	0	0	0	0	0
ENSG00000262554	0	0	0	0	0	0	0	0	0	0
ENSG00000212075	0	0	0	0	0	0	0	0	0	0
ENSG00000225108	0	0	0	0	0	0	0	0	0	0
ENSG00000225109	0	0	0	0	0	0	0	0	0	0
ENSG00000248928	1	0	0	0	0	0	0	0	0	0
ENSG00000270593	0	0	0	0	0	0	0	0	0	0
ENSG00000225100	0	0	0	0	0	0	0	0	0	0
ENSG00000225101	0	0	1	0	0	0	0	0	2	4
ENSG00000225102	0	0	0	0	0	0	0	0	0	0
ENSG00000225103	0	0	0	0	0	0	0	0	0	0
ENSG00000225105	0	0	0	0	0	0	0	0	0	0
ENSG00000225106	0	0	0	0	0	0	0	0	0	0
ENSG00000225107	0	0	0	0	1	0	0	0	0	4
ENSG00000221489	0	0	0	0	2	0	0	1	0	0
ENSG00000221488	0	0	0	0	0	0	0	0	0	0
ENSG00000226455	0	0	0	0	0	0	0	1	0	0
ENSG00000226454	0	0	0	0	0	0	0	0	0	0
ENSG00000149792	1173	1507	967	1065	1428	1094	1217	975	1346	1447
ENSG00000226450	20	16	7	17	47	16	23	18	27	24
ENSG00000221485	0	0	0	0	0	0	0	0	0	0
ENSG00000221484	0	1	0	0	0	0	0	0	0	0
ENSG00000149798	198	209	117	181	308	135	151	114	242	201
ENSG00000221486	0	0	0	0	0	0	0	0	0	0
ENSG00000212153	0	0	0	0	0	0	0	0	0	0
ENSG00000183055	6	6	4	4	1	2	2	2	5	1
ENSG00000183054	2	2	4	5	3	0	1	4	3	0
ENSG00000255076	0	0	0	0	0	0	0	0	0	1
ENSG00000251079	32	117	58	60	21	35	47	54	34	36
ENSG00000251078	0	0	0	0	0	0	0	0	0	0
ENSG00000250566	0	0	0	0	0	0	0	0	0	0
ENSG00000250567	0	0	0	0	0	0	0	0	0	0
ENSG00000234031	5	11	3	14	15	4	12	10	7	12
ENSG00000250565	69	100	66	61	129	58	79	73	94	114
ENSG00000250562	0	0	0	0	0	0	0	0	0	0
ENSG00000250563	0	0	0	0	0	0	0	0	0	0
ENSG00000187961	98	87	67	97	142	104	99	98	149	173
ENSG00000250561	0	0	0	0	0	0	0	0	0	0
ENSG00000187969	0	0	0	0	0	0	0	0	0	0
ENSG00000250569	27	21	18	17	30	16	10	14	19	22
ENSG00000162840	0	0	0	0	0	0	0	0	0	0
ENSG00000162843	0	1	0	0	3	1	2	0	0	0
ENSG00000259247	0	0	0	0	0	0	0	0	0	0
ENSG00000162849	268	406	761	367	631	277	144	586	314	444
ENSG00000228845	0	0	0	0	0	0	0	0	0	0
ENSG00000273240	7	24	7	6	10	12	9	5	7	9
ENSG00000149243	30	31	40	37	69	39	49	35	40	57
ENSG00000184702	289	273	742	427	1056	526	409	462	486	495
ENSG00000221156	1	4	2	2	1	1	3	4	1	2
ENSG00000221159	1	3	4	0	2	0	0	2	1	2
ENSG00000184708	805	1222	634	848	1220	927	970	639	932	1189
ENSG00000184709	0	0	0	0	0	1	0	0	0	1
ENSG00000272382	0	0	0	1	0	0	0	1	0	0
ENSG00000163462	150	142	221	168	318	240	149	164	244	218
ENSG00000163463	66	90	22	62	68	56	66	39	57	62
ENSG00000163464	0	0	0	0	0	0	0	0	0	0
ENSG00000163466	4051	5658	3137	3361	4957	3067	3747	2911	4572	4799
ENSG00000163467	4	3	6	2	6	4	5	4	5	10
ENSG00000163468	8047	9759	5086	7117	9162	6845	7949	5978	7647	11179
ENSG00000272380	0	0	0	0	0	0	0	0	0	0
ENSG00000266953	0	0	0	0	0	0	0	0	0	0
ENSG00000267739	0	0	0	0	0	0	0	0	0	0
ENSG00000267738	0	0	0	0	0	0	0	0	0	0
ENSG00000162599	2867	2728	2694	2470	4922	4228	2547	3676	1937	3155
ENSG00000162598	13	16	19	5	34	3	6	5	15	5
ENSG00000267731	14	6	10	3	6	5	4	7	12	4
ENSG00000162592	0	0	0	0	0	0	0	0	0	0
ENSG00000029364	3378	4671	2730	2790	4320	2957	3469	2437	3624	3788
ENSG00000267732	1	0	0	1	0	0	0	0	0	3
ENSG00000267735	1	0	0	0	0	3	1	1	1	0
ENSG00000029363	9491	15087	6485	9627	11872	10118	11782	6979	11988	12337
ENSG00000162595	144	62	175	70	361	109	41	73	51	140
ENSG00000162594	0	1	0	0	0	0	0	1	0	0
ENSG00000263609	0	0	0	0	0	0	0	0	0	0
ENSG00000263608	0	0	0	0	0	0	0	0	0	1
ENSG00000272384	0	1	3	0	2	3	0	1	1	0
ENSG00000118640	26	25	13	11	11	7	9	9	6	12
ENSG00000221625	77	95	83	43	115	65	77	45	75	146
ENSG00000263603	17	21	14	20	12	20	7	20	12	18
ENSG00000069329	6193	9292	5070	5358	9300	5748	6741	4443	7677	8102
ENSG00000263605	0	0	0	0	0	0	0	0	0	0
ENSG00000263604	0	0	0	0	0	0	0	0	0	0
ENSG00000263607	1	1	0	0	0	1	0	0	0	1
ENSG00000159961	0	0	0	0	0	0	0	0	0	0
ENSG00000201465	0	0	1	0	0	0	0	0	0	0
ENSG00000201464	0	0	0	0	0	0	0	0	0	0
ENSG00000201467	0	0	0	0	0	0	0	0	0	0
ENSG00000201466	0	0	0	0	0	0	0	0	0	0
ENSG00000225589	0	0	0	0	0	0	0	0	0	0
ENSG00000115073	898	877	614	715	1575	742	852	731	1143	1467
ENSG00000253143	0	0	0	0	0	0	0	0	0	0
ENSG00000253142	0	0	0	0	0	0	0	0	0	0
ENSG00000259161	0	0	0	0	0	0	0	0	0	0
ENSG00000259160	1	0	0	0	0	0	0	0	0	0
ENSG00000259163	0	1	0	0	1	3	1	0	2	0
ENSG00000259162	0	0	0	0	0	0	0	0	0	0
ENSG00000253149	0	0	0	0	0	0	0	0	0	0
ENSG00000253148	0	0	0	0	0	0	0	0	0	0
ENSG00000259167	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	65	68	53	67	63	47	72	51	56	53
ENSG00000213853	431	566	417	534	514	467	609	484	308	471
ENSG00000213851	0	0	0	0	0	0	0	0	0	0
ENSG00000258590	2	4	1	2	2	4	2	8	5	7
ENSG00000213857	1	0	0	2	1	0	0	1	0	0
ENSG00000213856	0	0	0	0	0	0	1	0	0	0
ENSG00000213854	0	0	0	0	0	0	0	0	0	1
ENSG00000213859	354	520	254	238	458	277	385	241	414	417
